Tree_ID,Latitude,Longitude,GLTs
2010,34.69003185179147,-120.04807342091634,ang20220224t214423_glt
2382,34.68991484867136,-120.0479858554632,ang20220224t214423_glt
2381,34.68983826099383,-120.0477883557024,ang20220224t214423_glt
2384,34.689893793861124,-120.04769324528097,ang20220224t214423_glt
2383,34.689463715836034,-120.0475863627906,ang20220224t214423_glt
2011,34.68985270398629,-120.04751206004691,ang20220224t214423_glt
2367,34.6904086032691,-120.04730873113566,ang20220224t214423_glt
2369,34.69042477000792,-120.04724141829057,ang20220224t214423_glt
2366,34.690447688973165,-120.04731458443919,ang20220224t214423_glt
2364,34.69044435303312,-120.04735382762097,ang20220224t214423_glt
2365,34.69043193519348,-120.04734724455744,ang20220224t214423_glt
2363,34.690459989594046,-120.0473754200888,ang20220224t214423_glt
2362,34.69049645755427,-120.04740404139966,ang20220224t214423_glt
2361,34.69049175178606,-120.04742963108899,ang20220224t214423_glt
2360,34.69046044181111,-120.0474272267437,ang20220224t214423_glt
2359,34.69050624050944,-120.04749064898724,ang20220224t214423_glt
2358,34.6904755807764,-120.04751477731918,ang20220224t214423_glt
2357,34.69050019668971,-120.0475065861002,ang20220224t214423_glt
2356,34.69051039604123,-120.04755294648598,ang20220224t214423_glt
2355,34.6904741906424,-120.04759285456251,ang20220224t214423_glt
2353,34.690471237841734,-120.04759994778044,ang20220224t214423_glt
2352,34.69054500023204,-120.04767738955547,ang20220224t214423_glt
2354,34.69061444183388,-120.04755085869432,ang20220224t214423_glt
2377,34.69078776406715,-120.0477753608955,ang20220224t214423_glt
2378,34.690658552125385,-120.04795303954403,ang20220224t214423_glt
2379,34.69077256345129,-120.04802407676567,ang20220224t214423_glt
2380,34.69098617838259,-120.04810458186932,ang20220224t214423_glt
2337,34.691370296888365,-120.04668479369639,ang20220224t214423_glt
2339,34.691391949383394,-120.04668262015002,ang20220224t214423_glt
2342,34.69140613447273,-120.04669804051882,ang20220224t214423_glt
2340,34.69137667508989,-120.04670957188426,ang20220224t214423_glt
2338,34.69134773874464,-120.04675407707342,ang20220224t214423_glt
2341,34.691367008144304,-120.0467852304045,ang20220224t214423_glt
2343,34.691483189030755,-120.04683394004694,ang20220224t214423_glt
2344,34.69152685548325,-120.04683156313112,ang20220224t214423_glt
2346,34.691643811444735,-120.04683486797478,ang20220224t214423_glt
2347,34.69167275113513,-120.04679155006966,ang20220224t214423_glt
2348,34.69167244981064,-120.04679433776683,ang20220224t214423_glt
2349,34.69171345536856,-120.04683494495625,ang20220224t214423_glt
2350,34.69173919243417,-120.04687452434852,ang20220224t214423_glt
2351,34.691742645175566,-120.04687693536965,ang20220224t214423_glt
2009,34.69181901496136,-120.04692919610113,ang20220224t214423_glt
2375,34.69184668728611,-120.04663627917822,ang20220224t214423_glt
2370,34.69166515942796,-120.04618329012314,ang20220224t214423_glt
2374,34.69082075466447,-120.04604587540157,ang20220224t214423_glt
2331,34.69098385362026,-120.0461627780669,ang20220224t214423_glt
2332,34.69097668249752,-120.04628132450992,ang20220224t214423_glt
2333,34.69090021645344,-120.04619361877793,ang20220224t214423_glt
2330,34.691026580002486,-120.0462048681587,ang20220224t214423_glt
2337?,34.69106335086892,-120.04615191899813,ang20220224t214423_glt
2328,34.69104032246559,-120.04613413348821,ang20220224t214423_glt
2326,34.69107880960017,-120.04615624387773,ang20220224t214423_glt
2325,34.69109933695896,-120.04613698716703,ang20220224t214423_glt
2324,34.69106077827511,-120.04606287184909,ang20220224t214423_glt
2321,34.691113777912946,-120.04607298087495,ang20220224t214423_glt
2323,34.69110450132445,-120.04610900773062,ang20220224t214423_glt
2322,34.691069368220596,-120.04601876419831,ang20220224t214423_glt
2320,34.69110633475526,-120.04603889406754,ang20220224t214423_glt
2319,34.691134277268766,-120.04605347650298,ang20220224t214423_glt
2318,34.691124883719574,-120.04600802115945,ang20220224t214423_glt
2317,34.691157796126674,-120.0460647274884,ang20220224t214423_glt
2316,34.69113097362813,-120.04598472855636,ang20220224t214423_glt
2315,34.69115105622073,-120.04595728681325,ang20220224t214423_glt
2314,34.691142340472375,-120.04596637532751,ang20220224t214423_glt
2312,34.69115481374331,-120.04594974843208,ang20220224t214423_glt
2311,34.69114415975837,-120.04595004779023,ang20220224t214423_glt
2310,34.691200857927655,-120.04596247812604,ang20220224t214423_glt
2313,34.69118721496826,-120.0459959491122,ang20220224t214423_glt
2371,34.691542040576806,-120.04608638158548,ang20220224t214423_glt
2372,34.69143090074182,-120.04611468656906,ang20220224t214423_glt
2307,34.691237967249904,-120.04628761195963,ang20220224t214423_glt
2308,34.69126315861119,-120.046255905249,ang20220224t214423_glt
2373,34.691247492563804,-120.04634307567957,ang20220224t214423_glt
2306,34.69120794812076,-120.04632271366724,ang20220224t214423_glt
2305,34.69118434495483,-120.0463744482431,ang20220224t214423_glt
2304,34.691158325082355,-120.04644329067297,ang20220224t214423_glt
2302,34.69110264940757,-120.04642755365471,ang20220224t214423_glt
2303,34.69109619820534,-120.04632520922952,ang20220224t214423_glt
2301,34.69108146766029,-120.04637236780555,ang20220224t214423_glt
2024,34.68725404705936,-120.05095416981887,ang20220224t214423_glt
2023,34.68711863821108,-120.05098108337877,ang20220224t214423_glt
2021,34.68664765091271,-120.05084567453054,ang20220224t214423_glt
2025,34.68634713368228,-120.05097356650563,ang20220224t214423_glt
2020,34.68622491878622,-120.05080667089489,ang20220224t214423_glt
2022,34.686936130632986,-120.05097099079389,ang20220224t214423_glt
2026,34.68541383240079,-120.05089193221173,ang20220224t214423_glt
2027,34.68516656406915,-120.05068671631744,ang20220224t214423_glt
2029,34.68526664887005,-120.0513486216814,ang20220224t214423_glt
2028,34.68539364723086,-120.051393197265,ang20220224t214423_glt
2030,34.68509843912065,-120.0516690612541,ang20220224t214423_glt
2031,34.68467455055212,-120.0521585516249,ang20220224t214423_glt
2008,34.69838775468762,-120.0506931929679,ang20220224t213004_glt
2007,34.69825300414068,-120.05058090084545,ang20220224t213004_glt
2006,34.698012378163995,-120.05048785880113,ang20220224t213004_glt
2015,34.69763379329402,-120.05095627736907,ang20220224t213004_glt
2014,34.69743487581996,-120.05069640131426,ang20220224t213004_glt
2016,34.696581455689326,-120.05037877502504,ang20220224t214423_glt
1478,34.69630553790273,-120.05005473204311,ang20220224t213004_glt
2012,34.69704345756456,-120.05048144210842,ang20220224t214423_glt
2004,34.69744503472788,-120.04995752705392,ang20220224t213004_glt
2005,34.69747278933654,-120.05026366879785,ang20220224t214423_glt
2085,34.71827308540067,-120.04157828097138,ang20220224t213004_glt
2089,34.7186260034998,-120.0408660280804,ang20220224t213004_glt
