Record Type,Date and Time,Tree Num,Average Above PAR,Average Below PAR,Leaf Distribution [Χ],Zenith Angle,Latitude,Longitude,Zenith,Fb,K,Tau,LAI
SUM,4/27/2022 12:10,2381,1942.504883,422.3,1,23,34,-120,23.08299828,0.905367076,0.547791243,0.217399711,2.844812569
SUM,4/27/2022 12:12,2384,1948.242188,542.9,1,23,34,-120,22.92071724,0.905367076,0.547132993,0.278661454,2.384575931
SUM,4/27/2022 12:13,2011,1954.467773,585.4,1,23,34,-120,22.74957085,0.905367076,0.546445239,0.299518881,2.25241357
SUM,4/27/2022 12:15,2382,1959.814453,486.3,1,23,34,-120,22.58369255,0.905367076,0.545784944,0.248135735,2.606862985
SUM,4/27/2022 12:16,2010,1962.036133,635.3,1,22,34,-120,22.4402523,0.905367076,0.545218932,0.323796279,2.111054401
SUM,4/27/2022 12:21,2376,1970.654297,244.1,1,22,34,-120,22.02526474,0.905367076,0.543607134,0.123867489,3.920364754
SUM,4/27/2022 12:22,2369,1974.029541,991,1,22,34,-120,21.91643333,0.905367076,0.543190721,0.50201883,1.294420257
SUM,4/27/2022 12:24,2367,1976.849365,822.4,1,22,34,-120,21.82822418,0.905367076,0.542855118,0.416015512,1.64830954
SUM,4/27/2022 12:25,2366,1979.80957,1161.8,1,22,34,-120,21.74379921,0.905367076,0.542535504,0.586824116,1.0023155
SUM,4/27/2022 12:26,2365,1985.229492,678.2,1,22,34,-120,21.65067101,0.905367076,0.542184742,0.341622972,2.020823897
SUM,4/27/2022 12:28,2365,1995.703125,757.1,1,21,34,-120,21.47987366,0.905367076,0.541546336,0.379365042,1.825589887
SUM,4/27/2022 12:29,2363/2365,2001.196289,972.1,1,21,34,-120,21.39520645,0.905367076,0.541232206,0.485759446,1.36067134
SUM,4/27/2022 12:30,2361,2002.062988,1167.9,1,21,34,-120,21.32886887,0.905367076,0.540987161,0.58334828,1.01609173
SUM,4/27/2022 12:32,2360,2002.868652,884.1,1,21,34,-120,21.25967789,0.905367076,0.540732585,0.441416864,1.542339907
