Record Type,Date and Time,Tree Num,Average Above PAR,Average Below PAR,Leaf Distribution [Χ],Zenith Angle,Latitude,Longitude,Zenith,Fb,K,Tau,LAI
SUM,9/12/2022 11:21,2024,1922.924805,510.1,1,37,34,-120,36.71652222,0.905367076,0.628657503,0.265272984,2.188278454
SUM,9/12/2022 11:23,2023,1954.650879,371.8,1,36,34,-120,36.45750809,0.905367076,0.626551421,0.190212996,2.744906924
SUM,9/12/2022 11:31,2022,1827.13623,397.6,1,35,34,-120,35.43450546,0.905367076,0.618491697,0.217608295,2.551427826
SUM,9/12/2022 11:36,2021,1733.679199,185.1,1,35,34,-120,34.84630203,0.905367076,0.614038558,0.106767157,3.766718556
SUM,9/12/2022 11:38,2025,1719.53125,418.1,1,35,34,-120,34.59647369,0.904603481,0.61218595,0.24314766,2.38625899
SUM,9/12/2022 11:39,2020,1708.630371,436.4,1,34,34,-120,34.40713882,0.898231924,0.610797077,0.255409249,2.299089565
SUM,9/12/2022 11:42,2026,1721.588135,303.2,1,34,34,-120,34.08548737,0.900941491,0.608467164,0.176116455,2.93986786
SUM,9/12/2022 11:50,2027,1760.290527,378.4,1,33,34,-120,33.16638565,0.905367076,0.602010147,0.214964515,2.634228168
SUM,9/12/2022 12:11,2345,1779.364014,347.2,1,31,34,-120,31.26301575,0.901979804,0.589538431,0.195125897,2.846577592
SUM,9/12/2022 12:12,2375,1778.869629,448,1,31,34,-120,31.15917778,0.900963485,0.588891439,0.251845325,2.402851773
SUM,9/12/2022 12:15,2009,1775.427246,454.1,1,31,34,-120,30.9635601,0.898066998,0.587681673,0.255769422,2.375818884
SUM,9/12/2022 12:16,2351,1755.773926,414.6,1,31,34,-120,30.88093185,0.889798582,0.587174217,0.236135185,2.503640038
SUM,9/12/2022 12:17,2350,1728.820801,536.6,1,31,34,-120,30.7711277,0.879220307,0.586503102,0.310384974,2.017816197
SUM,9/12/2022 12:19,2349,1705.236816,1074.4,1,31,34,-120,30.67841721,0.870480835,0.585939329,0.630059115,0.792999949
SUM,9/12/2022 12:21,2347/2348,1670.983887,628.5,1,31,34,-120,30.56181335,0.858340681,0.585233971,0.37612571,1.667633015
SUM,9/12/2022 12:22,2346,1645.275879,837.6,1,30,34,-120,30.48246574,0.849362969,0.584756336,0.509093952,1.145777449
SUM,9/12/2022 12:23,2344,1621.21582,647.8,1,30,34,-120,30.41073036,0.840862811,0.584326158,0.399576658,1.54969274
SUM,9/12/2022 12:24,2343,1601.11084,1043.4,1,30,34,-120,30.35267258,0.833587706,0.583979134,0.65167256,0.720526562
SUM,9/12/2022 12:26,2341,1653.930664,1182.6,1,30,34,-120,30.26213646,0.851003945,0.583439996,0.715023928,0.570931588
SUM,9/12/2022 12:27,2338,1714.489746,1059.7,1,30,34,-120,30.19062233,0.870718479,0.583015864,0.61808477,0.829590844
SUM,9/12/2022 12:28,2340,1767.663574,702.3,1,30,34,-120,30.1304493,0.889156401,0.582660174,0.397304108,1.611292124
SUM,9/12/2022 12:30,2337,1820.947266,1266,1,30,34,-120,30.05327797,0.905367076,0.582205578,0.695242539,0.641689727
SUM,9/12/2022 12:31,2339,1829.150391,947.9,1,30,34,-120,30.01077271,0.905367076,0.581955944,0.518218734,1.16090085
SUM,9/12/2022 12:32,2342,1837.646484,806.7,1,30,34,-120,29.96834373,0.905367076,0.581707291,0.438985413,1.45449123
SUM,9/12/2022 12:39,2354,2014.007568,563.1,1,30,34,-120,29.70996475,0.905367076,0.580204504,0.279591799,2.256704219
SUM,9/21/2022 12:02,2088,1698.120117,542.6,1,35,34,-120,35.00760651,0.899015009,0.615246914,0.319529811,1.910470446
SUM,9/21/2022 12:03,2093,1702.111816,244.3,1,35,34,-120,34.86525726,0.899457991,0.614180056,0.143527586,3.256442736
SUM,9/21/2022 12:06,2087,1706.817627,462.4,1,35,34,-120,34.6891861,0.89991343,0.612870796,0.270913537,2.195470985
SUM,9/21/2022 12:08,2091,1711.883545,259.1,1,34,34,-120,34.49043274,0.900330305,0.611406483,0.151353753,3.181667982
SUM,9/21/2022 12:10,2092,1714.929199,524.9,1,34,34,-120,34.35028076,0.900404394,0.610382522,0.306076776,1.998040575
SUM,9/21/2022 12:14,2090,1718.29834,419.2,1,34,34,-120,34.15210724,0.900117755,0.608946696,0.243962291,2.385371674
SUM,9/21/2022 12:16,2089,1722.216797,136.9,1,34,34,-120,33.97660065,0.900268674,0.607686784,0.079490573,4.28967508
SUM,9/21/2022 12:21,2085,1728.02124,488.3,1,34,34,-120,33.7430687,0.900729775,0.606027182,0.282577545,2.146783796
SUM,9/21/2022 12:39,2370,1741.333008,563.9,1,33,34,-120,33.07777405,0.900740266,0.601403,0.323832373,1.928304639
SUM,9/21/2022 12:41,2375,1742.248535,466,1,33,34,-120,33.03001785,0.900727987,0.601076888,0.26747045,2.256387832
SUM,9/21/2022 12:42,2009,1743.469238,693.4,1,33,34,-120,33.00001907,0.900992572,0.60087243,0.397712781,1.578326048
SUM,9/21/2022 12:43,2351,1744.177246,306,1,33,34,-120,32.98471832,0.901163757,0.600768264,0.175440885,2.980085356
SUM,9/21/2022 12:44,2350,1744.98291,1188.6,1,33,34,-120,32.96918869,0.901374519,0.600662621,0.681152803,0.657636869
SUM,9/21/2022 12:46,2349,1745.361328,1301.9,1,33,34,-120,32.95661545,0.901429594,0.600577149,0.745920045,0.502146303
SUM,9/21/2022 12:47,2347,1745.849609,713.6,1,33,34,-120,32.94272614,0.901520193,0.600482791,0.408740819,1.532884065
SUM,9/21/2022 12:48,2346,1746.295166,839.7,1,33,34,-120,32.93262482,0.901624382,0.600414209,0.480846547,1.254729937
SUM,9/21/2022 12:49,2344,1746.728516,597.7,1,33,34,-120,32.92515945,0.901745498,0.600363545,0.34218254,1.837987361
SUM,9/21/2022 12:50,2343,1747.741699,985.8,1,33,34,-120,32.92030716,0.902135074,0.600330625,0.564042158,0.981699024
SUM,9/21/2022 12:52,2341,1749.499512,999.8,1,33,34,-120,32.91684341,0.902855635,0.60030713,0.571477725,0.959708122
SUM,9/21/2022 12:53,2338,1750.506592,1391.5,1,33,34,-120,32.91677856,0.903286576,0.60030669,0.794912745,0.393784233
SUM,9/21/2022 12:54,2340,1751.641846,744.7,1,33,34,-120,32.91838455,0.903788507,0.600317583,0.425143988,1.467887628
SUM,9/21/2022 12:56,2342,1752.978516,731.2,1,33,34,-120,32.9290657,0.904457569,0.600390053,0.417118632,1.501055349
SUM,9/21/2022 12:58,2337,1753.448486,1072.7,1,33,34,-120,32.93868637,0.904744267,0.600455359,0.611765905,0.843664203
SUM,9/21/2022 12:59,2339,1753.796387,1107,1,33,34,-120,32.94756699,0.904972136,0.60051567,0.631202122,0.79000888
SUM,9/21/2022 13:03,2354,1777.661133,512.3,1,33,34,-120,33.01054764,0.905367076,0.600944153,0.288187659,2.135275578
SUM,9/21/2022 13:05,2379,1758.911133,383.8,1,33,34,-120,33.04496765,0.905367076,0.601178892,0.218203179,2.611807876
SUM,9/21/2022 13:06,2378,1673.034668,686.3,1,33,34,-120,33.06900024,0.87451601,0.601343028,0.410212659,1.4999429
SUM,9/21/2022 13:08,2352,1505.126953,875.6,1,33,34,-120,33.12189484,0.815072656,0.601704973,0.581744947,0.880392052
SUM,9/21/2022 13:11,2353,1513.946533,142,1,33,34,-120,33.20162582,0.819103479,0.602252346,0.093794594,3.852235699
SUM,9/21/2022 13:13,2355,1697.875977,605.7,1,33,34,-120,33.28143692,0.885064483,0.602802439,0.356739838,1.7424701
SUM,9/21/2022 13:14,2356,1760.437012,434.8,1,33,34,-120,33.3107872,0.905367076,0.60300528,0.246984128,2.392785689
SUM,9/21/2022 13:15,2357,1779.144287,542.9,1,33,34,-120,33.34311676,0.905367076,0.603229054,0.305146695,2.030283361
SUM,9/21/2022 13:16,2358,1781.219482,426.6,1,33,34,-120,33.3864212,0.905367076,0.603529353,0.23949884,2.443558335
SUM,9/21/2022 13:17,2359,1783.02002,461.9,1,33,34,-120,33.42565536,0.905367076,0.603801982,0.259054859,2.308433497
