Treestr,Species,springlai,winterlai,earlylai,septlai,difflai,springstdev
1338,,1.865863741,,,,,
1478,B,2.608603664,1.163146306,,,1.445457358,
2004,B,4.190652686,1.393411669,,,2.797241017,
2005,B,1.743187468,0.975295763,,,0.767891706,
2006,B,3.643601618,1.487365234,,,2.156236384,
2007,B,2.869366814,0.983177911,,,1.886188902,
2008,B,2.106352433,1.325624448,,,0.780727984,
2009,B,2.043523285,1.037062576,1.73981617,1.983421448,1.006460709,0.238363031
2010,B,2.160710445,2.287380679,1.374458135,1.455808339,-0.126670235,0.199198269
2011,B,2.557769501,,,1.686676226,,0.357824932
2012,B,3.148490331,1.723826015,,,1.424664315,
2013,B,2.619379342,1.382907328,,,1.236472014,
2014,B,,,,,,
2015,B,1.675768304,,,,,
2020,B,2.591573931,1.827593912,,2.314699839,0.763980019,0.081342651
2021,B,3.65088249,2.584134026,,3.749820918,1.066748464,0.154186513
2022,L,2.797551148,2.42204399,,,0.375507158,0.254980308
2023,L,3.120137641,2.30564158,,2.769005693,0.814496062,0.120125179
2024,B,2.530519016,1.661801775,,2.183882166,0.86871724,0.60757623
2025,B,2.289450681,1.615519831,,2.365517543,0.67393085,0.303359228
2026,B,2.552563678,1.349925031,,2.943797362,1.202638647,0.255102855
2027,B,2.668087544,1.642443915,,2.638766319,1.025643629,0.369796086
2048,,,,,,,
2085,B,2.493992446,,,2.145509677,,
2086,B,2.083968165,,,,,0.229986341
2087,B,2.412799834,,,2.193713184,,0.16101503
2088,B,2.260303399,,,1.916101436,,0.081141421
2089,L,3.808468858,,,4.29822676,,0.201692111
2090,B,2.449484374,,,2.3946919,,0.500337597
2091,L,3.900265562,,,3.205515106,,0.372729722
2092,L,2.558549825,,,2.009918879,,0.341100291
2093,L,3.478755336,,,3.260455181,,0.703976696
2301,L,2.925588113,1.804384005,1.630440858,1.733994829,1.121204108,0.22400915
2302,B,1.874591632,,2.941235305,2.297010169,,0.154612204
2303,B,2.101951174,,2.222352104,1.360503889,,0.115157403
2304,B,1.869611393,2.083213348,2.842923021,2.290012331,-0.213601955,0.170147229
2305,B,1.478046565,3.537180666,2.101879912,2.736249865,-2.059134101,0.181913119
2306,B,1.827649969,3.165948189,2.244691667,2.100638254,-1.33829822,0.223079695
2307,B,1.938501081,3.571457457,1.692177246,1.916940052,-1.632956376,0.446842396
2310,B,1.306115147,,,1.19224103,,0.215624549
2313,B,1.133169627,1.933007683,,0.824733605,-0.799838056,0.104663603
2316,B,1.365295676,,,1.600751475,,0.461998639
2317,B,1.292273835,1.581457336,,1.5295265,-0.289183501,0.20984219
2318,B,1.619590009,1.353743612,,1.955479213,0.265846397,0.333102437
2319,B,1.201880646,2.968369006,,1.24091207,-1.76648836,0.394359981
2320,L,1.432715847,2.900985769,,1.363524909,-1.468269922,0.283110333
2321,B,1.268183953,0.959990514,,1.213177784,0.308193439,0.338064533
2322,L,3.755856571,1.269893686,,,2.485962885,
2323,L,2.528159149,1.097516221,,1.444722337,1.430642927,0.187368866
2324,B,,2.202901078,,,,
2325,B,1.253260214,,0.940682157,0.901241603,,0.03728065
2326,B,0.653492526,,0.924210412,0.580572416,,
2327,B,,,,1.165234773,,
2328,L,,,,3.525585575,,
2330,B,,,3.619393632,,,
2331,L,3.692702494,,,3.059547307,,0.287037273
2332,B,0.849841803,2.124178994,0.788738763,0.824645988,-1.274337191,0.080028109
2333,B,,,2.997819999,2.357624394,,
2334,B,2.595348806,,2.415249493,1.969828242,,0.082171202
2335,B,1.709692045,,,1.555606124,,0.176046639
2336,B,2.043321202,,,1.93001426,,0.198927449
2337,B,1.504707295,,0.920613543,0.741181965,,0.302780574
2338,B,1.496145123,,1.052561863,0.619739244,,0.209387483
2339,B,1.984207775,1.57306739,1.156883795,0.977966652,0.411140386,0.080530858
2340,B,1.848823128,0.375465222,1.674605481,1.551997875,1.473357905,0.209242422
2341,B,1.192081979,0.301880856,0.892205869,0.764335391,0.890201123,0.160979852
2342,B,1.24397405,0.871625743,1.994147289,1.478358005,0.372348307,0.234999872
2343,B,2.016345414,1.104649797,1.707268233,0.85755645,0.911695616,0.373325742
2344,B,2.539693387,1.258548421,2.755524366,1.700707281,1.281144966,0.379117382
2345,L,,,,2.86164042,,
2346,B,1.47571073,2.012527839,1.984663428,1.205106867,-0.536817109,0.293512354
2349,B,1.46399535,0.761808029,0.68393034,0.657934776,0.702187321,0.376740445
2350,B,1.697464724,0.652353827,,1.357617512,1.045110897,0.634230976
2351,B,1.846343346,1.697938283,2.251020797,2.066077598,0.148405063,0.206924891
2352,L,2.792253956,0.925548203,1.377991082,0.826642137,1.866705753,0.577890082
2353,L,3.485693987,2.392884183,,3.817844515,1.092809804,
2354,L,2.665954713,1.736907988,2.576946157,2.210196156,0.929046725,0.369586867
2355,B,1.709799569,2.277378637,,1.775200155,-0.567579068,0.283602558
2356,B,0.988977156,1.889300683,,2.402638439,-0.900323527,0.307310156
2357,B,1.246739309,0.914588284,,2.061575629,0.332151025,0.23066339
2358,B,1.195837641,2.100672101,,2.494135999,-0.904834461,0.365881266
2359,B,1.366182734,1.571439419,,2.347265374,-0.205256685,0.180567
2360,B,1.25246776,,1.110817666,1.1305406,,0.414776943
2361,B,1.106555063,1.067023047,1.121455016,,0.039532016,0.107660517
2364,B,1.217323574,1.393618094,1.422656668,1.846080265,-0.17629452,0.226942763
2365,B,1.688971394,,,2.040838577,,0.303828703
2366,B,0.965204495,1.151771523,1.592909594,1.094091403,-0.186567028,0.148829773
2367,B,1.643462338,1.751004448,,1.549882771,-0.107542109,0.254601915
2369,B,1.222314958,0.909272207,1.756910799,0.954243052,0.313042751,0.156369174
2370,B,2.431848719,1.750672858,1.851704163,1.933519072,0.681175861,0.190177829
2371,B,2.334072995,1.870015974,2.665290922,2.107337472,0.464057021,0.50415509
2372,B,2.163687964,2.679179507,2.693409575,1.331111969,-0.515491543,0.285691724
2373,B,2.360634661,1.889365193,1.570921249,2.716087299,0.471269468,0.279440146
2374,B,2.080684333,1.764847991,2.090625904,1.508449578,0.315836342,0.179029938
2375,B,2.503378377,0.973038791,2.067132805,2.339976605,1.530339586,0.28877392
2376,L,3.826551961,1.081167314,,1.352994485,2.745384646,0.080045587
2377,L,3.252579186,,,,,
2378,B,1.905351675,0.972003076,1.718241516,1.535079649,0.933348599,0.119379086
2379,B,3.752021792,1.522928425,2.735059709,2.618801868,2.229093367,0.106949214
2380,L,4.072270629,1.634703797,2.742974079,,2.437566832,0.587218326
2381,B,2.777818792,1.949280908,2.651753163,1.552046715,0.828537885,0.194392709
2382,B,1.984153342,1.361802073,1.908045129,1.708283286,0.62235127,0.660763684
2383,B,4.072778432,1.591436084,,2.477678652,2.481342348,0.432001456
2384,B,2.799672762,1.555888247,2.781404931,1.602365603,1.243784515,0.366113187
2308/2309,B,2.417898298,3.577641685,2.066143875,2.70683096,-1.159743387,0.209563571
2311/2312,B,1.950576195,2.736327635,,2.420990002,-0.78575144,0.527881139
2314/2315,BL,2.029701972,1.749276341,,1.763824876,0.280425631,0.0776033
2347/2348,B,2.307690902,1.173288644,1.805088135,1.617166759,1.134402257,0.20403177
2362/2363,B,1.159703421,1.963592135,1.248868484,1.03572345,-0.803888714,0.178362119
