Time	AirTC_1_Avg: Airstrip-15min, (°C)	AirTC_2_Avg: Airstrip-15min, (°C)	RH_avg_1: Airstrip-15min, (%RH)	RH_avg_2: Airstrip-15min, (%RH)	WS_ms_Avg: Airstrip-15min, (m/s)	WS_ms_Min: Airstrip-15min, (m/s)	WS_ms_Max: Airstrip-15min, (m/s)	WS_ms_Std: Airstrip-15min, (m/s)	SlrW_Avg: Airstrip-15min, (W/m2)	SlrW_Min: Airstrip-15min, (W/m2)	SlrW_Max: Airstrip-15min, (W/m2)	SlrW_Std: Airstrip-15min, (W/m2)	CNR_Wm2_Avg: Airstrip-15min, (W/m2)	CNR_Wm2_Std: Airstrip-15min, (W/m2)	WindDir_D1_WVT: Airstrip-15min, (°)	WindDir_SD1_WVT: Airstrip-15min, (°)	LWS_mV_Avg: Airstrip-15min, (mV)	LWS_mV_Min: Airstrip-15min, (mV)	LWS_mV_Max: Airstrip-15min, (mV)	Rain_mm_Tot: Airstrip-15min, (mm)	Fog_mm_Tot: Airstrip-15min, (mm)
2021-10-01 00:15:00	30.28	30.29	14.48	16	3.987	2.975	5.55	0.63	168.6	155.3	182.1	7.913	76.53	13.71	311.3	19.53	192.8	192.7	193.4	0	0
2021-10-01 00:30:00	29.07	29.2	15.39	16.82	4.866	3.5	6.375	0.738	141.7	129.4	154.5	7.495	38.67	12.55	309.8	12.13	192.7	192.7	192.7	0	0
2021-10-01 00:45:00	28.41	28.63	14.5	15.73	4.716	3.6	5.925	0.665	114.9	100.8	128.6	8.33	-2.18	10.58	313.2	13.3	192.2	192	192.7	0	0
2021-10-01 01:00:00	27.74	28.18	14.73	15.85	3.697	2.6	5.05	0.631	86.7	74.32	100	7.567	-40.19	10.01	310.1	15.72	192.3	192	192.4	0	0
2021-10-01 01:15:00	27	27.53	14.84	15.83	3.724	2.125	4.85	0.681	61.72	48.87	73.51	7.394	-67.94	7.391	320.1	10.16	192.1	192	192.4	0	0
2021-10-01 01:30:00	26.12	26.91	17.13	18.01	2.988	2.175	4.05	0.437	32.83	13.33	47.86	9.55	-96.7	9.91	319.8	9.39	192.1	192	192.4	0	0
2021-10-01 01:45:00	25.11	26.06	17.11	17.75	2.964	2.2	3.95	0.462	8.55	5.049	13.33	2.289	-121.6	3.302	334.5	12.12	192	192	192.1	0	0
2021-10-01 02:00:00	24.4	25.38	17.53	18.12	3.02	2.075	4.375	0.593	2.612	1.01	5.049	1.169	-129.7	2.686	332.8	7.916	192.1	192.1	192.1	0	0
2021-10-01 02:15:00	23.57	24.72	18.59	19	2.052	1.225	3.1	0.476	0.438	0.202	1.01	0.281	-123.6	3.233	334.4	10.53	192.1	192.1	192.1	0	0
2021-10-01 02:30:00	22.22	24	19.68	19.46	1.384	1.025	1.7	0.163	0.007	0	0.202	0.036	-104.1	5.396	349.3	9.36	192.1	192.1	192.1	0	0
2021-10-01 02:45:00	21.28	23.31	14.5	15.73	0.55	0	1.35	0.549	0	0	0	0	-103.6	3.241	330.9	6.828	192.1	192.1	192.1	0	0
2021-10-01 03:00:00	19.71	22.18	21.75	20.79	0	0	0	0	0	0	0	0	-101.8	2.158	0	0	192.1	192.1	192.1	0	0
2021-10-01 03:15:00	19.04	21.25	22.71	21.92	0	0	0	0	0	0	0	0	-101.3	1.742	0	0	192.1	192.1	192.2	0	0
