formula,AIC
1,293.5548183493796
elevation,285.38368590703624
slope,289.2403586986366
aspect,295.32568528320235
cwc,279.99447760118915
elevation + slope,282.9584418301317
elevation + aspect,287.1833230139491
elevation + cwc,275.2285649584714
slope + aspect,290.7349120492154
slope + cwc,278.31682056476234
aspect + cwc,281.98403933297203
elevation + slope + aspect,284.53922719168037
elevation + slope + cwc,274.5405122696372
elevation + aspect + cwc,277.2237882235795
slope + aspect + cwc,280.3030613573586
elevation + slope + aspect + cwc,276.52641815341764
