formula,AIC
1,212.95269684560134
elevation,211.9782122173247
slope,210.9213784628411
aspect,211.76412804244146
cwc,205.35072019791005
elevation + slope,211.12930941027105
elevation + aspect,211.30083107565335
elevation + cwc,205.74975825135195
slope + aspect,209.8550193061644
slope + cwc,205.4259027244295
aspect + cwc,205.45139935534513
elevation + slope + aspect,210.4423075479961
elevation + slope + cwc,206.36397870467232
elevation + aspect + cwc,206.08771176341014
slope + aspect + cwc,205.4866732985853
elevation + slope + aspect + cwc,206.62517535829332
