Comment,Source,Species,Site,aspect,slope,smoothDEM,geometry,species,sept_lwc,lat,lon
2010,GPS,B,Weathertop,35.3988,11.7648,346.596,POINT (770422.4966147648 3842636.453227339),B,,3842636.453227339,770422.4966147648
2382,GPS,B,Weathertop,22.0611,8.76965,347.703,POINT (770430.901875031 3842623.708082137),B,,3842623.708082137,770430.901875031
2381,GPS,B,Weathertop,31.8081,1.68849,347.716,POINT (770449.2496938936 3842615.7424280806),B,0.582907820478366,3842615.7424280806,770449.2496938936
2384,GPS,B,Weathertop,55.4992,13.4323,346.618,POINT (770457.7845647724 3842622.15922021),B,,3842622.15922021,770457.7845647724
2383,GPS,B,Weathertop,13.0931,7.05847,352.607,POINT (770468.9795939735 3842574.732663635),B,0.57862218103182,3842574.732663635,770468.9795939735
2011,GPS,B,Weathertop,60.5736,18.8416,342.721,POINT (770474.5217839779 3842618.087957907),B,0.566715086117452,3842618.087957907,770474.5217839779
2367,GPS,B,MiddleEarth,38.0351,15.1549,326.049,POINT (770491.3439046902 3842680.3079404114),B,,3842680.3079404114,770491.3439046902
2369,GPS,B,MiddleEarth,43.6734,12.6855,324.71,POINT (770497.4596093234 3842682.2826072043),B,,3842682.2826072043,770497.4596093234
2366,GPS,B,MiddleEarth,26.1819,14.5052,324.908,POINT (770490.6802267551 3842684.6284716316),B,,3842684.6284716316,770490.6802267551
2364,GPS,B,MiddleEarth,19.8597,16.0202,325.635,POINT (770487.0949587252 3842684.152804058),B,,3842684.152804058,770487.0949587252
2365,GPS,B,MiddleEarth,25.9207,15.5401,325.782,POINT (770487.738654878 3842682.7928433325),B,0.535108250438853,3842682.7928433325,770487.738654878
2363,GPS,B,MiddleEarth,10.9706,17.0503,325.199,POINT (770485.065361325 3842685.829482054),B,,3842685.829482054,770485.065361325
2362,GPS,B,MiddleEarth,12.5383,15.5399,324.206,POINT (770482.3238183192 3842689.7983461274),B,,3842689.7983461274,770482.3238183192
