tree,time,species,lwc_mean,date,img_date,lat,lon,slope,aspect,elevation,twi,cwc,species_date
1478,md,blue oak,1.0197904540163,2022-04-27,2022-04-29,3843327.1463400787,770220.5190413787,0.43839049339294434,222.53501892089844,308.1258850097656,5.197696208953857,0.1747126712969329,blue oak_20220429
2004,md,blue oak,0.889679715302491,2022-04-27,2022-04-29,3843453.826576832,770225.7175033602,5.929095268249512,228.28466796875,340.70220947265625,3.7622313499450684,0.1456108849442681,blue oak_20220429
2005,md,blue oak,0.915650406504065,2022-04-27,2022-04-29,3843456.0828919737,770197.5756267894,34.375816345214844,251.17344665527344,332.0501708984375,6.039501190185547,0.1341696103375979,blue oak_20220429
2007,md,blue oak,0.859447004608295,2022-04-27,2022-04-29,3843541.7895171787,770165.9691541858,8.987707138061523,186.69668579101562,341.0130310058594,5.175328731536865,0.1454731060912802,blue oak_20220429
2009,md,blue oak,0.84174624829468,2022-04-25,2022-04-29,3842837.804065467,770521.5291933517,12.890545845031738,126.32971954345703,303.9501037597656,4.679945468902588,0.08298761082718,blue oak_20220429
2010,md,blue oak,0.88861985472155,2022-04-25,2022-04-29,3842636.453227339,770422.4966147648,12.375821113586426,38.94542694091797,346.6065673828125,3.498260736465454,0.1186663253547237,blue oak_20220429
2011,md,blue oak,0.770461251747166,2022-04-25,2022-04-29,3842618.087957907,770474.5217839779,19.920413970947266,62.8661003112793,342.77642822265625,4.13200044631958,0.1615024017477859,blue oak_20220429
2012,md,blue oak,0.971066907775769,2022-04-27,2022-04-29,3843407.8663449273,770179.0182394916,9.73424243927002,199.77268981933594,310.64068603515625,5.209740161895752,0.140305567338159,blue oak_20220429
2015,md,blue oak,0.9836867862969,2022-04-27,2022-04-29,3843472.0838140585,770133.5885934872,6.583279132843018,206.4998321533203,312.03271484375,6.785527229309082,0.1211400627259193,blue oak_20220429
2020,md,blue oak,0.918429003021148,2022-04-27,2022-04-29,3842206.7545231823,770184.4116592902,2.2719569206237793,280.9188232421875,367.0904541015625,3.4878063201904297,0.1105042095095858,blue oak_20220429
2021,md,blue oak,0.923076923076923,2022-04-27,2022-04-29,3842253.5487391567,770179.4622990222,3.028519630432129,326.8507385253906,364.4018249511719,3.7247769832611084,0.14322597553676,blue oak_20220429
2023,md,live oak,0.907242693773824,2022-04-27,2022-04-29,3842305.4374996363,770165.5213605766,5.939506530761719,236.98934936523438,363.12994384765625,3.3984107971191406,0.1731491412635301,live oak_20220429
2024,md,blue oak,0.933541017653167,2022-04-27,2022-04-29,3842320.5324214306,770167.5473082233,3.7948966026306152,135.37745666503906,364.2284240722656,3.2029755115509033,0.1067213032474976,blue oak_20220429
2025,md,blue oak,0.929280397022332,2022-04-27,2022-04-29,3842219.8649604386,770168.7195580832,14.563714981079102,291.9818420410156,364.7462158203125,4.426228046417236,0.1339068107718447,blue oak_20220429
2026,md,blue oak,0.856382978723405,2022-04-27,2022-04-29,3842116.5414041854,770179.2362666926,8.044902801513672,356.95062255859375,373.7835998535156,3.2644379138946533,0.1268004298318748,blue oak_20220429
2027,md,blue oak,0.879207920792079,2022-04-27,2022-04-29,3842089.660181702,770198.8470827716,4.028956413269043,23.721773147583008,377.00433349609375,3.11399245262146,0.1583453624206117,blue oak_20220429
2028,md,blue oak,0.831376734258271,2022-04-27,2022-04-29,3842112.9553768705,770133.3646807799,8.776127815246582,251.54087829589844,364.98779296875,4.385159492492676,0.1535602508079796,blue oak_20220429
2031,md,blue oak,0.908268733850129,2022-04-27,2022-04-29,3842031.121296633,770065.5634672197,13.613422393798828,103.7840805053711,364.5049133300781,3.5001893043518066,0.1370217323186326,blue oak_20220429
2301,md,live oak,0.629518636448773,2022-04-25,2022-04-29,3842757.476780254,770574.9574476053,15.997138977050781,330.92376708984375,304.7059020996094,5.836775302886963,0.1676014843102229,live oak_20220429
2331,md,live oak,0.608910891089109,2022-04-25,2022-04-29,3842747.2112320093,770594.4815571127,25.47771453857422,303.7754211425781,313.16717529296875,3.4534921646118164,0.1372597397620272,live oak_20220429
2343,md,blue oak,0.86150409530901,2022-04-27,2022-04-29,3842800.802879876,770531.352001393,18.103609085083008,77.6594467163086,303.2978820800781,4.328408718109131,0.1194336325557667,blue oak_20220429
2343,md,blue oak,0.86150409530901,2022-04-25,2022-04-29,3842800.802879876,770531.352001393,18.103609085083008,77.6594467163086,303.2978820800781,4.328408718109131,0.1194336325557667,blue oak_20220429
