tree,time,species,mpa_mean,date,img_date,lat,lon,slope,aspect,elevation,twi,cwc,species_date
1478,pd,blue oak,-0.903,2022-04-27,2022-04-29,3843327.1463400787,770220.5190413787,0.43839049339294434,222.53501892089844,308.1258850097656,5.197696208953857,0.1675965462843548,blue oak_20220429
2004,pd,blue oak,-0.9345,2022-04-27,2022-04-29,3843453.826576832,770225.7175033602,5.929095268249512,228.28466796875,340.70220947265625,3.7622313499450684,0.0702503815168487,blue oak_20220429
2005,pd,blue oak,-0.917666666666667,2022-04-27,2022-04-29,3843456.0828919737,770197.5756267894,34.375816345214844,251.17344665527344,332.0501708984375,6.039501190185547,0.1242533221811928,blue oak_20220429
2006,pd,blue oak,-0.991333333333333,2022-04-27,2022-04-29,3843515.343848026,770175.277448283,24.7520751953125,227.16531372070312,333.15667724609375,5.3816704750061035,0.1692987281106185,blue oak_20220429
2007,pd,blue oak,-0.989,2022-04-27,2022-04-29,3843541.7895171787,770165.9691541858,8.987707138061523,186.69668579101562,341.0130310058594,5.175328731536865,0.1437481823020707,blue oak_20220429
2009,pd,blue oak,-1.276,2022-04-25,2022-04-29,3842837.804065467,770521.5291933517,12.890545845031738,126.32971954345703,303.9501037597656,4.679945468902588,0.1219044437897042,blue oak_20220429
2010,pd,blue oak,-1.171,2022-04-25,2022-04-29,3842636.453227339,770422.4966147648,12.375821113586426,38.94542694091797,346.6065673828125,3.498260736465454,0.130258637866363,blue oak_20220429
2011,pd,blue oak,-1.253,2022-04-25,2022-04-29,3842618.087957907,770474.5217839779,19.920413970947266,62.8661003112793,342.77642822265625,4.13200044631958,0.1585024479403425,blue oak_20220429
2012,pd,blue oak,-1.2195,2022-04-27,2022-04-29,3843407.8663449273,770179.0182394916,9.73424243927002,199.77268981933594,310.64068603515625,5.209740161895752,0.1463390741666008,blue oak_20220429
2015,pd,blue oak,-1.326,2022-04-27,2022-04-29,3843472.0838140585,770133.5885934872,6.583279132843018,206.4998321533203,312.03271484375,6.785527229309082,0.1156840632290332,blue oak_20220429
2020,pd,blue oak,-0.94,2022-04-27,2022-04-29,3842206.7545231823,770184.4116592902,2.2719569206237793,280.9188232421875,367.0904541015625,3.4878063201904297,0.1323741401459543,blue oak_20220429
2021,pd,blue oak,-0.881333333333333,2022-04-27,2022-04-29,3842253.5487391567,770179.4622990222,3.028519630432129,326.8507385253906,364.4018249511719,3.7247769832611084,0.1442406198475375,blue oak_20220429
2022,pd,live oak,-0.887333333333333,2022-04-27,2022-04-29,3842285.2167453594,770167.0398695478,9.910367012023926,273.6779479980469,361.5818176269531,3.9038188457489014,0.1516993504520473,live oak_20220429
2023,pd,live oak,-0.773,2022-04-27,2022-04-29,3842305.4374996363,770165.5213605766,5.939506530761719,236.98934936523438,363.12994384765625,3.3984107971191406,0.1649115997199345,live oak_20220429
2024,pd,blue oak,-1.017,2022-04-27,2022-04-29,3842320.5324214306,770167.5473082233,3.7948966026306152,135.37745666503906,364.2284240722656,3.2029755115509033,0.0852281852032263,blue oak_20220429
